key,en,ko,zh,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITLE,Valkyrie Maker,발키리 메이커,女武神夢工廠,ヴァルキリーメーカー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITLE_REGULAR,Valkyrie Maker,발키리 메이커 - 방치형 RPG의 정수,女武神夢工廠 - 放置型RPG,ヴァルキリーメーカー【放置型RPGの精髄】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITLE_NOX,Valkyrie Maker - NoxPlayer only (old Androids),발키리 메이커 - 녹스 앱플레이어 전용 (구버전 안드로이드),女武神夢工廠～Nox夜神專用（舊版Android）,ヴァルキリーメーカー〜NoxPlayer専用（旧バージョンのAndroid）〜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK_BUTTON,OK,확인,確認,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVE_BUTTON,Save,저장,儲存,保存する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANCEL_BUTTON,Cancel,취소,取消,キャンセル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSE_BUTTON,Close,닫기,關閉,閉じる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTLE_BUTTON,Battle,전투 시작,戰鬥,戦闘開始,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TREENAMETAG_YGGDRASIL,YGGDRASIL,위그드라실,世界樹,ユグドラシル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORLDNAMETAG_ASGARD,ASGARD,아스가르드,阿斯嘉特,アースガルズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORLDNAMETAG_ALFHEIM,ALFHEIM,알프하임,亞爾夫海姆,アルフヘイム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORLDNAMETAG_MIDGARD,MIDGARD,미드가르드,米德加爾特,ミズガルズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORLDNAMETAG_SVARTALFHEIM,SVARTALFHEIM,스바르트알파하임,尼德威阿爾,スヴァルトアルフヘイム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORLDNAMETAG_HELHEIM,HELHEIM,헬하임,冥界,ヘルヘイム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORLDNAMETAG_MUSPELHEIM,MUSPELHEIM,무스펠하임,穆斯貝爾海姆,ムスペルヘイム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORLDNAMETAG_JOTUNHEIM,JOTUNHEIM,티르의 손,約頓海姆,ヨトゥンヘイム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORLDNAMETAG_VANAHEIM,VANAHEIM,바나하임,華納海姆,ヴァナヘイム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORLDNAMETAG_NIFLHEIM,NIFLHEIM,니플하임,尼福爾海姆,ニヴルヘイム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TREENAMETAG_MAGELLAN,MEGELLAN,마젤란,麥哲倫,マゼラン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNDERCONSTRUCTION_ALERT_MAGELLAN,Magellan is not available yet.,마젤란 컨텐츠는 준비중입니다.,麥哲倫尚在準備中。,マゼランコンテンツは準備中です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TREENAMETAG_MIRINEA,MIRINEA,미리내,米里娜,ミリネ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TREENAMETAG_ANDROMEDA,ANDROMEDA,안드로메다,安朵美達,アンドロメダ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSS_STAGE_LIMIT,Unlocked after {name},{name} 이후 해금,{name} 後解鎖,{name}以後アンロック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN_ERROR_ALERT,"An unknown error occurred. Please turn off and on the game. If this continues, please contact us at valkyriemaker@btncafe.com",알 수 없는 오류입니다. 게임을 껐다 켜 주시기 바랍니다. 계속해서 문제가 발생하는 경우에는 valkyriemaker@btncafe.com으로 문의주시기 바랍니다.,發生未知錯誤，請重新開啟遊戲。如果持續發生問題，請透過valkyriemaker@btncafe.com與我們聯絡。,不明なエラーが発生しました。 ゲームを再起動してください。 問題が引き続き発生する場合は、valkyriemaker@btncafe.comにお問い合わせください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONNECTION_ERROR_ALERT,"An error occurred while connecting to the server. Please check your internet connection and try again. If this continues, please contact us at valkyriemaker@btncafe.com",서버와의 통신 중 오류가 발생했습니다. 인터넷이 연결되어있는지 확인하신 후 다시 시도해주시기 바랍니다. 계속해서 문제가 발생하는 경우에는 valkyriemaker@btncafe.com으로 문의주시기 바랍니다.,伺服器連線失敗，請確認網路環境及連線狀況後重新連線。如果持續發生問題，請透過valkyriemaker@btncafe.com與我們聯絡。,サーバーとの通信中にエラーが発生しました。インターネットの接続を確認後、再試行してください。引き続き問題が発生する場合は、valkyriemaker@btncafe.comにお問い合わせください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPC_LIGHT_NAMETAG,Light,빛,光,光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREATE_VALKYRIE_SENTENCE_1,"My lord, the ruler of the universe. Loki the son of a frost giant and his worshipers are plunging the worlds into darkness and chaos.","나의 주인, 신이시여. 서리거인의 아들 로키와 그의 거인들이 세상을 어둠으로 물들이고 혼란에 빠트리고 있으니,",宇宙的統治者，我的主人。霜巨人之子洛基和他的追隨者們，想讓這世界陷入混亂與黑暗之中。,我が主よ、我が神よ。 霜の巨人の息子ロキとその巨人たちは、世界を闇と混乱に陥れています。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
